POSTCODE,lsoa11cd,lat,lon,building_name
N17 9HS,E01002081,51.592221597784935,-0.06875676366279201,Circular Road Community Hub
N17 9FU,E01002080,51.58981931823997,-0.057237331466659984,The Engine Room
N15 6AB,E01002055,51.57612679527906,-0.06941024073766228,Craven Park Community Centre
N17 8BP,E01032575,51.60360223491139,-0.06961688859110565,Whitehall & Tenterden Community Centre
N15 3DS,E01002085,51.589295940354695,-0.09941343437395955,Milton Road Community Centre
N17 8DX,E01032575,51.60593733612587,-0.07162630438866002,Haringey Irish Cultural & Community Centre
N6 5AA,E01002007,51.577107285838366,-0.1463938894407341,Jacksons Lane Community Centre
N17 9EZ,E01002081,51.591052708501174,-0.0660344742952927,Lord Morrison Hall
N22 8EP,E01001971,51.60234311365215,-0.11329455436553562,Commerce Road Community Centre
N22 5HJ,E01002102,51.602995766727155,-0.11026387518309404,Cypriot Community Centre
N17 8JL,E01002092,51.607452546471485,-0.07902860802417115,Selby Centre
N17 6NU,E01002086,51.59225067452962,-0.08700410320283286,Lordship Hub Co-op
N8 9LP,E01002059,51.57908462395875,-0.11248274298231058,Hornsey Vale Community Centre
N17 8AD,E01002038,51.60070172330682,-0.06822371324225955,Tottenham Community Sports Centre
N8 7AD,E01002018,51.589725750886906,-0.1216418317370466,Kurdish Advice Centre
N22 5RP,E01002099,51.600490944191144,-0.10493852954941817,Winkfield Resource Centre
N17 6HE,E01002082,51.59577278065729,-0.07966585282305978,Broadwater Farm Community Centre
N8 0SD,E01001999,51.58560032582759,-0.09998627562229481,Turkish Cypriot Community Association
N22 6TB,E01002029,51.595237772532386,-0.11097573104335853,The Community Hub
N22 6TB,E01002029,51.595237772532386,-0.11097573104335853,Wood Green Fatih Community Centre
N4 3QF,E01002062,51.57253905689997,-0.11310024185151411,Mind in Haringey
N17 0HJ,E01002039,51.6028463955826,-0.059771609155494794,Northumberland Park Resource Centre
